Data Scope,Code,Name,"Credit
Points",Unit Designation,Unit Type,Prerequisites,Corequisites,NCCW,When Offered,On Campus Attendance,Staff Contact,"Offering
Department",Offering Faculty,"FOE -
Narrow",Pass/Fail,Co-taught Units,Quota,Unit Activity,ASQCNew,ASQCRecoded,WWCC,Status,Placement in SONIA,Authority,Capstone unit?,Awards/Majors
Undergraduate,CHIN3020,I Chinese Studies 6,10,,,(CHIN3010 or CHN320) and permission by special approval,,"CHIN1320, CHIN2220, CHN321",S2 Online,,"Dr Hui Ling Xu
",Department of International Studies,Faculty of Arts,91515,No,"CHIN1320, CHIN2220, ",no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIN3030,The Chinese Classics,10,,,Permission by special approval,,CHN330,S1 Day,,"Associate Professor Shirley Chan
",Department of International Studies,Faculty of Arts,91515,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIN3031,History of Chinese Art,10,,,130cp at 1000 level or above,,CHN331,S1 Day,,"Associate Professor Shirley Chan
",Department of International Studies,Faculty of Arts,91515,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIN3040,HSK Chinese Proficiency Test,10,,,CHN2020 or CHIN1220,CHIN3010 or CHIN2210 or CHIN1310,,S1 Day,,"Dr Hui Ling Xu
",Department of International Studies,Faculty of Arts,91515,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIN3041,Chinese Literature and Culture,10,,,Permission by special approval,,CHN341,S2 Day,,"Associate Professor Shirley Chan
",Department of International Studies,Faculty of Arts,91515,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIN3045,Chinese Short Term Residential Program 3,10,,,40cp and permission by special approval,,CHN365,"S3 Fieldwork
WV Fieldwork","
","Ms Lyse Thomas
",Department of International Studies,Faculty of Arts,91515,Yes,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIN3085,English-Chinese Translation II,10,,,20cp at 2000 level including CHN252 or CHIN2052,,CHN385,S1 Day,,"Dr Lan Zhang
",Department of International Studies,Faculty of Arts,91519,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIN3087,Chinese-English Translation II,10,,,130cp at 1000 level or above including (CHN253 or CHIN2053),,CHN387,S2 Day,,"Dr Lan Zhang
",Department of International Studies,Faculty of Arts,91519,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIN3088,Chinese-English-Chinese Interpreting II,10,,,CHN386 or CHIN2086,,CHN388,S2 Day,,"Dr Lan Zhang
",Department of International Studies,Faculty of Arts,91519,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIR1101,Chiropractic Sciences 1,10,,,Admission to BChiroSc,ANAT1001 or HLTH108,CHIR113,S1 Day,,"Mr Aron Downie
Mr Christopher Burrell
",Department of Chiropractic,Faculty of Science and Engineering,61705,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIR1102,Chiropractic Sciences 2,10,,,Admission to BChiroSc and ANAT1001 or HLTH108,,CHIR114,S2 Day,,"Mr Aron Downie
Mr Christopher Burrell
",Department of Chiropractic,Faculty of Science and Engineering,61705,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIR2103,Chiropractic Sciences 3,10,,,Admission to BChiroSc and (CHIR1101 or CHIR113) and (CHIR1102 or CHIR114),,CHIR213,S1 Day,,"Mr Michael Swain
",Department of Chiropractic,Faculty of Science and Engineering,61705,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIR2104,Chiropractic Sciences 4,10,,,Admission to BChiroSc and (CHIR1101 or CHIR113) and (CHIR1102 or CHIR114) and (CHIR2103 or CHIR213),,CHIR214,S2 Day,,"Mr Michael Swain
",Department of Chiropractic,Faculty of Science and Engineering,61705,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIR3105,Chiropractic Science 5,10,,,Admission to BChiroSc and (CHIR2103 or CHIR213) and (CHIR2104 or CHIR214),,CHIR315,S1 Day,,"Mr Aron Downie
",Department of Chiropractic,Faculty of Science and Engineering,61705,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,CHIR3106,Chiropractic Science 6,10,,,Admission to BChiroSc and (CHIR3105 or CHIR315),,CHIR316,S2 Day,,"Mr Aron Downie
Mr Christopher Burrell
",Department of Chiropractic,Faculty of Science and Engineering,61705,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",Yes,Bachelor of Chiropractic Science
Undergraduate,CHIR3610,Foundations of Clinical Practice,10,,PACE,(CHIR315 or CHIR3105) and (HLTH316 or HLTH3302),(CHIR316 or CHIR3106) and (HLTH317 or HLTH3303),"CHIR322, HLTH333",S2 Day,,"Mr Christopher Burrell
",Department of Chiropractic,Faculty of Science and Engineering,61705,No,none,no quota,no activity,No,No,,Green,No,Auto approved re-code.,No,
Undergraduate,CIVL1001,Introduction to Civil Engineering,10,,,(PHYS1510 or PHYS140) and (MATH1010 or MATH135 or MATH1015 or MATH132),,,S2 Day,,"Dr Rouzbeh Abbassi
",School of Engineering,Faculty of Science and Engineering,30900,No,MECH1001,no quota,no activity,No,No,,Green,No,Added details as unit approved in webforms 2020,No,
Undergraduate,CIVL2101,Water and Wastewater Engineering,10,,,CIVL1001,,CIVl6101,2021,,"Dr Rouzbeh Abbassi
",School of Engineering,Faculty of Science and Engineering,30907,No,CIVL6101,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,CIVL2201,Soil Mechanics,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30901,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,CIVL2205,Geotechnical Engineering,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30911,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,CIVL2301,Structural Analysis,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30903,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,CIVL3101,Hydraulics and Hydrology,10,,,MECH2002 or MECH202 or CIVL2002,,,TBD,,,School of Engineering,Faculty of Science and Engineering,30907,No,none,no quota,no activity,No,No,,Green,No,Updated details of unit as approved in webforms 2020,No,
Undergraduate,CIVL3201,Transport Engineering,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30909,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,CIVL3301,Structural Design 1,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30900,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,CIVL3305,Structural Design 2,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30903,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,CIVL3401,Construction Management,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30901,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,CIVL4090,Civil Engineering Research Thesis A,10,,,(CIVL3305 or CIVL3301) and (CIVL3201 or CIVL3101),,,2022,,"Dr Rouzbeh Abbassi
",School of Engineering,Faculty of Science and Engineering,30900,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,CIVL4091,Civil Engineering Research Thesis B,10,,,20cp at 4000 level,CIVL4090,,2022,,"Dr Rouzbeh Abbassi
",School of Engineering,Faculty of Science and Engineering,30900,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,CIVL4201,Geotechnical and Transportation Project,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30911,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,CIVL4301,Structural Design Project,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30903,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,CIVL4401,Health and Safety in Construction,10,,,,,,,,,School of Engineering,Faculty of Science and Engineering,30901,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,COGS1000,Introduction to Neuroscience 1,10,,,,,COGS100,S1 Day,,"Professor Mark Williams
Dr David Kaplan
",Department of Cognitive Science,Faculty of Human Sciences,10999,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COGS1005,Introduction to Neuroscience 2,10,,,COGS1000,,COGS100,S2 Day,,"Professor Mark Williams
Dr David Kaplan
",Department of Cognitive Science,Faculty of Human Sciences,10999,No,none,no quota,no activity,No,No,,Green,No,Added details as unit is now approved in webforms,No,
Undergraduate,COGS1010,Delusions and Disorders of the Mind and Brain,10,,,,,"COGS101, COGS201, COGX101, COGX201",S1 Day,,"Professor Anne Castles
",Department of Cognitive Science,Faculty of Human Sciences,90700,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COGS2000,Cognitive Neuroscience,10,,,COGS1005 or 60cp at 1000 level or above including (COGS1000 or COGS100),,COGS202,S1 Day,,"Associate Professor Anina Rich
",Department of Cognitive Science,Faculty of Human Sciences,10999,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COGS2010,Memory,10,,,60cp at 1000 level or above,,COGS210,S1 Day,,"Dr John Sutton
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COGS2020,Experimental Design and Data Analysis for the Cognitive and Brain Sciences,10,,,STAT1170 or STAT170,,,S1 Day,,"Dr Matthew Crossley
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,"Updated details as per 2020 webforms<br />
Approved in Webforms",No,
Undergraduate,COGS2030,Hearing and Brain,10,,,COGS1000 or COGS100 or PSYU1104 or PSYC104 or PSYU1105 or PSYC105,,,S2 Day,,"Associate Professor Blake Johnson
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,"Updated details as per 2020 webforms<br />
Approved in Webforms",No,
Undergraduate,COGS2040,Attention and Action,10,,,COGS2000 or COGS202,,,S2 Day,,"Associate Professor Matthew Finkbeiner
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,COGS2050,Reading in the Mind and Brain,10,,,60cp at 1000 level or above,,,S1 Day,,"Professor Lyndsey Nickels
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,"Updated details as per 2020 webforms<br />
Approved in Webforms",No,
Undergraduate,COGS2250,Cognitive and Brain Sciences Laboratory,10,,,Admission to BCogBrainSc and (COGS2000 or COGS202) and COGS2020,,,S2 Day,,"Dr Bianca de Wit
",Department of Cognitive Science,Faculty of Human Sciences,10999,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,COGS3020,Computational Neuroscience,10,,,130cp including (COGS1000 or COGS100 or BIOL2230 or BIOL257 or MEDI2300 or MEDI204) and (COGS2020 or STAT2170 or STAT270),,,2021,,"Dr Matthew Crossley
",Department of Cognitive Science,Faculty of Human Sciences,10999,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,COGS3030,Human Neuroimaging,10,,,130cp including (COGS202 or COGS2000) and COGS2020,,,S2 Day,,"Associate Professor Paul Sowman
",Department of Cognitive Science,Faculty of Human Sciences,10999,No,none,no quota,no activity,No,No,,Green,No,"Updated details as per 2020 webforms<br />
Approved in Webforms",No,
Undergraduate,COGS3040,Space and Time in the Motor System,10,,,130cp including COGS2000 or COGS202,,,S1 Day,,"Associate Professor Paul Sowman
",Department of Cognitive Science,Faculty of Human Sciences,10999,No,none,no quota,no activity,No,No,,Green,No,"Updated details as per 2020 webforms<br />
Approved in Webforms",No,
Undergraduate,COGS3050,Current Problems in Cognitive Science,10,,,130cp including COGS3020 and (COGS3030 or COGS3040 or COGS3210 or COGS3220),,COGS301,S2 Day,,"Associate Professor Matthew Finkbeiner
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,COGS3010 re-coded to COGS3050 due to new PACE designation - ASQC 26/3/2019.,Yes,Bachelor of Cognitive and Brain Sciences
Undergraduate,COGS3210,Advanced Topics in Cognitive Science 1,10,,,130cp including (COGS2000 or COGS202) and ((COGS2010 or COGS210) or COGS2020 or COGS2030 or COGS2040 or COGS2050),,,S1 Day,,"Professor John Sutton
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,Added details as unit is now approved in webforms,No,
Undergraduate,COGS3220,Advanced Topics in Cognitive Science 2,10,,,130cp including (COGS2000 or COGS202) and ((COGS2010 or COGS210) or COGS2020 or COGS2030 or COGS2040 or COGS2050),,,S2 Day,," Cognitive Science Staff 
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,Updated details as unit is approved in webforms,No,
Undergraduate,COGS3250,Advanced Research Experience and Training,10,,,130cp and admission to BCogBrainSc and permission by special approval,,,2021,,"Professor Anina Rich
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,COGS3999,Cognitive Science in the Real World,10,,PACE,130cp including 10cp from COGS units at 3000 level,COGS301 or COGS3010,COGS399,S2 Day,,"Dr Nicholas Badcock
",Department of Cognitive Science,Faculty of Human Sciences,90799,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP1000,Introduction to Computer Programming,10,,,,,COMP115,"S1 Day
S2 Day","
"," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP1010,Fundamentals of Computer Science,10,,,(COMP1000 or COMP115) or admission to (BActStud or BActStudBSc or BAppFinBActStud or BActStudBProfPrac),,COMP125,"S1 Evening
S2 Day","
"," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP1050,Introduction to Software Engineering,10,,,,,,S1 Day,,"Dr Xi Zheng
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,Updated details as per approved unit in webforms 2020,No,
Undergraduate,COMP1150,Introduction to Video Games,10,,,,,"MMCC1011, MAS111, COMP111",S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP1160,Modelling and Animation,10,,,,,,TBD,,"Dr Malcolm Ryan
",Department of Computing,Faculty of Science and Engineering,20115,No,none,no quota,no activity,No,No,,Green,No,Added details as per approved unit in 2020 webforms,No,
Undergraduate,COMP1300,Introduction to Cyber Security,10,,,,,COMP107,S1 Day,," Computing Staff 
",Department of Computing,Faculty of Science and Engineering,29901,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP1350,Introduction to Database Design and Management,10,,,,,ISYS114,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20303,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP1750,Introduction to Business Information Systems,10,,,,,ISYS104,S1 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20305,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP1800,IT & Society,10,,,,,ISYS100,"S1 Day
S2 Day","
"," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20300,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP1900,Computing Research I,10,,,Admission to BAdvIT,,COMP188,"S1 Day
S2 Day","
"," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2000,Object-Oriented Programming Practices,10,,,(COMP1010 or COMP125),,COMP229,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2010,Algorithms and Data Structures,10,,,(COMP1010 or COMP125) and 10cp from (MATH132-MATH136 or DMTH137 or MATH1007-MATH1025 or (STAT150 or STAT1250) or (STAT170 or STAT1170) or (STAT171 or STAT1371) or (STAT175 or STAT1175)),,COMP225,S1 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20109,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2050,Software Engineering,10,,,60cp at 1000 level or above including (COMP1010 or COMP125),,COMP255,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20305,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2100,Systems Programming,10,,,COMP1010 or COMP125,,COMP202,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20300,No,COMP6100,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2110,Web Technology,10,,,(COMP1010 or COMP125) and (COMP1350 or ISYS114),,COMP249,S1 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,COMP6110,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2150,Game Design,10,,,(COMP1000 or COMP115) and ((COMP1150 or COMP111) or (MMCC1011 or MAS111)),,COMP260,S1 Day,," Computing Staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2160,Game Development,10,,,(COMP1150 or COMP111 or MMCC1011 or MAS111) and (COMP1010 or COMP125),,,S2 Day,,"Dr Malcolm Ryan
",Department of Computing,Faculty of Science and Engineering,20103,No,none,no quota,no activity,No,No,,Green,No,Added details as unit approved in webforms 2020,No,
Undergraduate,COMP2200,Data Science,10,,,(COMP1000 or COMP115) and (STAT1170 or STAT170 or STAT1371 or STAT171 or STAT1250 or STAT150),,COMP257,S2 Day,," Computing Staff 
",Department of Computing,Faculty of Science and Engineering,20300,No,COMP6200,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2250,Data Communications,10,,,(COMP1000 or COMP115) or (COMP1350 or ISYS114),,COMP247,S1 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,31307,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2300,Applied Cryptography,10,,,(COMP1010 or COMP125) and (DMTH137 or MATH1007 or DMTH237),,COMP343,"S1 Day
S2 Day","
","Associate Professor Christophe Doche
Dr Hassan Asghar
",Department of Computing,Faculty of Science and Engineering,29901,No,COMP6300,no quota,no activity,No,No,,Green,No,Updated details of unit as approved in webforms 2020,No,
Undergraduate,COMP2310,Digital Forensics,10,,,(COMP1010 or COMP125) and (COMP1350 or ISYS114),COMP2250 or COMP247,,S1 Day,,"Associate Professor Christophe Doche
",Department of Computing,Faculty of Science and Engineering,29901,No,none,no quota,no activity,No,No,,Green,No,Updated as per 2020 webforms approved unit,No,
Undergraduate,COMP2320,Offensive Security,10,,,,(COMP2110 or COMP249) and (COMP2250 or COMP247) and (COMP2300 or COMP343),,"S1 Day
S2 Day","
","Associate Professor Christophe Doche
",Department of Computing,Faculty of Science and Engineering,29901,No,COMP6320,no quota,no activity,No,No,,Green,No,Updated details of unit as approved in webforms 2020,No,
Undergraduate,COMP2350,Database Systems,10,,,COMP1350 or ISYS114,,ISYS224,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20300,No,COMP6350,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2750,Applications Modelling and Development,10,,,COMP1350 or ISYS114,,ISYS254,S1 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20300,No,COMP6750,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2800,IT and the Future of Society,10,,,40cp including ((COMP1800 or ISYS100) or (20cp in COMP or ISYS units at 1000 level)),,ISYS200,S2 Day,," Computing Staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP2900,Computing Research II,10,,,Admission to BAdvIT and (COMP1900 or COMP188),,,TBD,,"Professor Annabelle McIver
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,Updated details of unit as approved in webforms 2020,No,
Undergraduate,COMP3000,Programming Languages,10,,,130cp at 1000 level or above including (COMP2010 or COMP225) or (COMP2000 or COMP229),,COMP332,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3010,Algorithm Theory and Design,10,,,130cp at 1000 level or above including (COMP2010 or COMP225) and (MATH2907 or DMTH237),,COMP333,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20109,No,COMP6102,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3100,Distributed Systems,10,,,130cp at 1000 level or above including (COMP2100 or COMP202) and (COMP2250 or COMP247),,COMP335,S1 Day,," Computing Staff 
",Department of Computing,Faculty of Science and Engineering,20113,No,COMP6105,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3120,Advanced Web Development,10,,,130cp at 1000 level or above including COMP2110 or COMP249,,COMP344,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,COMP6120,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3130,Mobile Application Development,10,,,(COMP229 or COMP2000) or (COMP249 or COMP2110),,,TBD,,"Associate Professor Steve Cassidy
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,Added details to unit as approved in webforms 2020,No,
Undergraduate,COMP3150,Games Project A,10,,,130cp at 1000 level or above including (COMP2150 or COMP260),,COMP352,S2 Day,," Computing Staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,"COMP3151, ",no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",Yes,Bachelor of Game Design and Development
Undergraduate,COMP3151,Games Project B,10,,,COMP3150 or COMP352,,,TBD,,"Dr Malcolm Ryan
",Department of Computing,Faculty of Science and Engineering,29999,No,COMP3150,no quota,no activity,No,No,,Green,No,Updated details of unit as approved in webforms 2020,No,
Undergraduate,COMP3160,Artificial Intelligence,10,,,130cp at 1000 level or above including (COMP2000 or COMP229) or (COMP2010 or COMP225) or (COMP2110 or COMP249),,COMP329,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20119,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3170,Computer Graphics,10,,,130cp at 1000 level or above including (COMP2110 or COMP249) or COMP2160 or (COMP2000 or COMP229),,COMP330,S1 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3180,Advanced Game Development,10,,,COMP2160,,,2021,,"Dr Malcolm Ryan
",Department of Computing,Faculty of Science and Engineering,29999,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,COMP3210,Big Data,10,,,130cp at 1000 level or above including COMP2200 or COMP257,,COMP336,S1 Day,," Computing Staff
",Department of Computing,Faculty of Science and Engineering,20300,No,COMP6210,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3220,Document Processing and the Semantic Web,10,,,130cp at 1000 level or above including (COMP2110 or COMP249) or (COMP2200 or COMP257),,COMP348,S1 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3250,Computer Networks,10,,,130cp at 1000 level or above including ((COMP1010 or COMP125) and (COMP2250 or COMP247)) and (DMTH137 or MATH1007 or MATH2907 or DMTH237 or ELEC2040 or ELEC240)),,COMP347,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20113,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3300,Data Privacy and Information Security,10,,,130cp at 1000 level or above including (COMP1010 or COMP125) and (DMTH137 or MATH1007 or (MATH2907 or DMTH237)),,COMP343,TBD,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,29901,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,COMP3310,Secure Applications Development,10,,,,,,,,,Department of Computing,Faculty of Science and Engineering,20103,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA project<br />
Not yet created in webforms",No,
Undergraduate,COMP3320,Cyber Security Management in Practice,10,,,(130cp at 1000 level or above and (COMP1300 or COMP107) and (COMP1350 or ISYS114) and (COMP343 or COMP3300)),,,"S1 Day
S2 Day","
","Associate Professor Christophe Doche
",Department of Computing,Faculty of Science and Engineering,29901,No,COMP6325,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,Yes,Bachelor of Cyber Security
Undergraduate,COMP3760,Enterprise Systems Integration,10,,,130cp at 1000 level or above including (COMP2350 or ISYS224) or (COMP2750 or ISYS254) or (COMP2050 or COMP255),,ISYS301,S2 Day,," Computing staff 
",Department of Computing,Faculty of Science and Engineering,20300,No,COMP6760,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
